,relation_id,case_lawyer,case,lawyer,case_id,lawyer_id
23236,rcase_lawyer_46121,"('5df56c93ab936e461498a983', '郭康')",5df56c93ab936e461498a983,郭康,case_38152,lawyer_5725
23237,rcase_lawyer_46122,"('5df56c93ab936e461498a983', '关立君')",5df56c93ab936e461498a983,关立君,case_38152,lawyer_5780
23238,rcase_lawyer_46123,"('5df55b03ab936e4614982eaf', '郭康')",5df55b03ab936e4614982eaf,郭康,case_38153,lawyer_5725
23239,rcase_lawyer_46124,"('5df55b03ab936e4614982eaf', '关立君')",5df55b03ab936e4614982eaf,关立君,case_38153,lawyer_5780
23240,rcase_lawyer_46125,"('5e24532347825900472d00c3', '郭康')",5e24532347825900472d00c3,郭康,case_38154,lawyer_5725
23241,rcase_lawyer_46126,"('5e24532347825900472d00c3', '关立君')",5e24532347825900472d00c3,关立君,case_38154,lawyer_5780
23242,rcase_lawyer_46127,"('5ee07e1d3edbe71b2f9ffbb9', '郭康')",5ee07e1d3edbe71b2f9ffbb9,郭康,case_38155,lawyer_5725
23243,rcase_lawyer_46128,"('5ee07e1d3edbe71b2f9ffbb9', '关立君')",5ee07e1d3edbe71b2f9ffbb9,关立君,case_38155,lawyer_5780
23244,rcase_lawyer_46129,"('5df57b97ab936e461498fb5b', '杨传花')",5df57b97ab936e461498fb5b,杨传花,case_38156,lawyer_1682
23245,rcase_lawyer_46130,"('5df57b97ab936e461498fb5b', '阮国忠')",5df57b97ab936e461498fb5b,阮国忠,case_38156,lawyer_5827
23246,rcase_lawyer_46133,"('5df56d48ab936e461498ad41', '郭康')",5df56d48ab936e461498ad41,郭康,case_38159,lawyer_5725
23247,rcase_lawyer_46134,"('5df56d48ab936e461498ad41', '关立君')",5df56d48ab936e461498ad41,关立君,case_38159,lawyer_5780
23248,rcase_lawyer_46135,"('5e24529d47825900472cf0a6', '郭康')",5e24529d47825900472cf0a6,郭康,case_38160,lawyer_5725
23249,rcase_lawyer_46136,"('5e24529d47825900472cf0a6', '关立君')",5e24529d47825900472cf0a6,关立君,case_38160,lawyer_5780
23250,rcase_lawyer_46137,"('5e2452a447825900472cf1cf', '郭康')",5e2452a447825900472cf1cf,郭康,case_38161,lawyer_5725
23251,rcase_lawyer_46138,"('5e2452a447825900472cf1cf', '关立君')",5e2452a447825900472cf1cf,关立君,case_38161,lawyer_5780
23252,rcase_lawyer_46141,"('5ece2500a377db0347f5ec53', '卢俊')",5ece2500a377db0347f5ec53,卢俊,case_38164,lawyer_6040
23253,rcase_lawyer_46143,"('5ece5b39a1e1ba2d699a1e78', '阎国强')",5ece5b39a1e1ba2d699a1e78,阎国强,case_38166,lawyer_2598
23254,rcase_lawyer_46144,"('5ece5b39a1e1ba2d699a1e78', '徐玉杰')",5ece5b39a1e1ba2d699a1e78,徐玉杰,case_38166,lawyer_6042
23255,rcase_lawyer_46145,"('5ec938f43cdef0087ef81cd4', '吴迪')",5ec938f43cdef0087ef81cd4,吴迪,case_38167,lawyer_978
23256,rcase_lawyer_46146,"('5ec938f43cdef0087ef81cd4', '陈兴萍')",5ec938f43cdef0087ef81cd4,陈兴萍,case_38167,lawyer_4055
23257,rcase_lawyer_46147,"('5ec938f43cdef0087ef81cd4', '叶丹平')",5ec938f43cdef0087ef81cd4,叶丹平,case_38167,lawyer_6066
23258,rcase_lawyer_46148,"('5df55b04ab936e4614982eb2', '郭康')",5df55b04ab936e4614982eb2,郭康,case_38168,lawyer_5725
23259,rcase_lawyer_46149,"('5df55b04ab936e4614982eb2', '关立君')",5df55b04ab936e4614982eb2,关立君,case_38168,lawyer_5780
23260,rcase_lawyer_46150,"('5df53b7eab936e461497aeb0', '张绍林')",5df53b7eab936e461497aeb0,张绍林,case_38169,lawyer_6067
23261,rcase_lawyer_46151,"('5df58056ab936e461499131b', '郭康')",5df58056ab936e461499131b,郭康,case_38170,lawyer_5725
23262,rcase_lawyer_46152,"('5df58056ab936e461499131b', '关立君')",5df58056ab936e461499131b,关立君,case_38170,lawyer_5780
23263,rcase_lawyer_46153,"('5df56d4fab936e461498ad8c', '郭康')",5df56d4fab936e461498ad8c,郭康,case_38171,lawyer_5725
23264,rcase_lawyer_46154,"('5df56d4fab936e461498ad8c', '关立君')",5df56d4fab936e461498ad8c,关立君,case_38171,lawyer_5780
23265,rcase_lawyer_46155,"('5df580b0ab936e4614991674', '郭康')",5df580b0ab936e4614991674,郭康,case_38172,lawyer_5725
23266,rcase_lawyer_46156,"('5df580b0ab936e4614991674', '关立君')",5df580b0ab936e4614991674,关立君,case_38172,lawyer_5780
23267,rcase_lawyer_46157,"('5df56c91ab936e461498a97d', '郭康')",5df56c91ab936e461498a97d,郭康,case_38173,lawyer_5725
23268,rcase_lawyer_46158,"('5df56c91ab936e461498a97d', '关立君')",5df56c91ab936e461498a97d,关立君,case_38173,lawyer_5780
23269,rcase_lawyer_46159,"('5df56d4fab936e461498ad88', '郭康')",5df56d4fab936e461498ad88,郭康,case_38174,lawyer_5725
23270,rcase_lawyer_46160,"('5df56d4fab936e461498ad88', '关立君')",5df56d4fab936e461498ad88,关立君,case_38174,lawyer_5780
23271,rcase_lawyer_46161,"('5df56cb5ab936e461498aa2e', '郭康')",5df56cb5ab936e461498aa2e,郭康,case_38175,lawyer_5725
23272,rcase_lawyer_46162,"('5df56cb5ab936e461498aa2e', '关立君')",5df56cb5ab936e461498aa2e,关立君,case_38175,lawyer_5780
23273,rcase_lawyer_46163,"('5e24528547825900472cee2d', '郭康')",5e24528547825900472cee2d,郭康,case_38176,lawyer_5725
23274,rcase_lawyer_46164,"('5e24528547825900472cee2d', '关立君')",5e24528547825900472cee2d,关立君,case_38176,lawyer_5780
23275,rcase_lawyer_46165,"('5ee07cd03edbe71b2f9c3e8f', '郭康')",5ee07cd03edbe71b2f9c3e8f,郭康,case_38177,lawyer_5725
23276,rcase_lawyer_46166,"('5ee07cd03edbe71b2f9c3e8f', '关立君')",5ee07cd03edbe71b2f9c3e8f,关立君,case_38177,lawyer_5780
23277,rcase_lawyer_46168,"('5ec930073cdef0087eacacb1', '郭康')",5ec930073cdef0087eacacb1,郭康,case_38179,lawyer_5725
23278,rcase_lawyer_46169,"('5ec930073cdef0087eacacb1', '关立君')",5ec930073cdef0087eacacb1,关立君,case_38179,lawyer_5780
23279,rcase_lawyer_46170,"('5df3df22ab936e46148fce4e', '王晖')",5df3df22ab936e46148fce4e,王晖,case_38180,lawyer_169
23280,rcase_lawyer_46171,"('5df3df22ab936e46148fce4e', '罗琳')",5df3df22ab936e46148fce4e,罗琳,case_38180,lawyer_170
